"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"452","13749",48,45,7,17.6,23,2,20.5,301.3,28.2,"WGS84",42.97686,10.623178,"B31","8","U111","8","mineral","ITALY"
"453","13751",28,32,40,17.7,0,1.8,39.3,462.9,21,"WGS84",41.81381,13.01024,"C10","8","U120","8","mineral","ITALY"
"454","13754",36,43,20,43.2,222,1.6,0,462.5,26,"WGS84",42.28655,13.9775,"C10","8","U120","8","mineral","ITALY"
"455","13755",22,37,41,13.4,617,1.3,10,122.2,15.8,"WGS84",42.3435,13.90867,"C10","8","U120","8","mineral","ITALY"
"456","13756",38,53,9,17.4,350,1.6,52.4,782.6,23.7,"WGS84",42.35667,14.03033,"C10","8","U120","8","mineral","ITALY"
"457","13757",41,50,9,5.9,333,1.1,0,169.2,22.9,"WGS84",42.41669,13.889,"B53","8","U111","8","mineral","ITALY"
"458","13758",14,27,59,10.9,466,1.2,45.8,155.3,11.1,"WGS84",42.2917,14.29263,"B82","F00","U111","8","mineral","ITALY"
"459","13759",33,42,25,12.8,269,1.3,28.1,439.5,15.6,"WGS84",42.2515,14.38625,"B82","E30","U111","8","mineral","ITALY"
"460","13760",42,45,13,14.2,125,1.6,43.2,1553.6,28.6,"WGS84",42.51806,14.08973,"B31","8","U111","8","mineral","ITALY"
"461","13761",41,33,25,11,266,1.1,28.9,594.9,25.9,"WGS84",42.41999,14.25316,"B82","E10","U111","8","mineral","ITALY"
"462","13763",52,30,18,11.3,1,1.2,0,120.5,24.3,"WGS84",41.98526,12.70592,"B81","E10","U111","8","mineral","ITALY"
"463","13766",28,40,32,15.4,8,1.5,72.2,376,19.9,"WGS84",42.14777,12.71316,"B75","F00","U111","8","mineral","ITALY"
"464","13767",37,52,11,20.9,136,2.1,0,299,34.1,"WGS84",42.11483,12.59112,"B52","8","U111","8","mineral","ITALY"
"465","13768",21,34,44,10.8,2,1.3,0,572.8,26.1,"WGS84",42.11671,12.51886,"E20","8","U111","8","mineral","ITALY"
"466","13769",49,31,20,29.1,36,3.1,0,221.3,34.5,"WGS84",42.12954,11.94037,"D10","8","U364","8","mineral","ITALY"
"467","13771",33,37,30,7.9,0,1.1,0,259.5,21.7,"WGS84",42.28059,12.47644,"B12","8","U111","8","mineral","ITALY"
"468","13773",54,41,5,11.3,294,1.3,0,270.2,25,"WGS84",42.16743,11.84535,"E30","8","U112","8","mineral","ITALY"
"469","13774",21,42,36,21.8,4,1.5,0,366.5,16.4,"WGS84",42.01744,12.10546,"D10","8","U112","8","mineral","ITALY"
"470","13776",32,47,21,16.3,1,1.7,24.1,1478.2,24.2,"WGS84",42.15658,12.3756,"B54","8","U111","8","mineral","ITALY"
"471","13777",37,29,34,16.2,2,1.5,16.4,809.8,13.8,"WGS84",42.05227,12.10784,"B15","8","U111","8","mineral","ITALY"
"472","13778",26,36,38,14.1,0,1.7,14.1,5259.4,17.4,"WGS84",41.96127,12.19939,"B12","8","U111","8","mineral","ITALY"
"473","13779",19,41,40,9.1,0,1.1,21.5,584.3,23.9,"WGS84",41.99583,12.27208,"B14","8","U111","8","mineral","ITALY"
"474","13780",33,29,38,18.2,26,1.8,35,454.8,24.2,"WGS84",41.86687,12.38876,"E30","8","U112","8","mineral","ITALY"
"475","13781",46,39,15,8.6,245,1.3,16.7,316.4,32.5,"WGS84",42.87299,12.62402,"B15","8","U111","8","mineral","ITALY"
"476","13782",51,40,9,39.8,6,2.9,0,350.9,56.6,"WGS84",42.83878,12.54925,"C10","8","U120","8","mineral","ITALY"
"477","13785",50,33,17,22.5,257,2.3,18.7,721,33.8,"WGS84",42.90111,12.91849,"E20","8","U111","8","mineral","ITALY"
"478","13786",65,24,11,90.8,1,7,11.8,666.3,52.1,"WGS84",42.93996,12.82261,"C10","8","U120","8","mineral","ITALY"
"479","13788",24,55,21,11.5,203,1.3,15.4,201.6,17,"WGS84",43.16655,12.44076,"B36","8","U111","8","mineral","ITALY"
"480","13789",32,47,21,13,301,1.1,0,146.1,24.3,"WGS84",43.275972,12.396136,"B82","E10","U111","8","mineral","ITALY"
"481","13790",33,52,15,28,331,2.7,10.2,195.9,26.7,"WGS84",43.25495,12.51815,"E20","8","U111","8","mineral","ITALY"
"482","13791",30,33,37,12.9,105,1.3,0,182.1,19.5,"WGS84",42.84174,12.4274,"B52","8","U111","8","mineral","ITALY"
"483","13793",50,34,16,12.1,5,1.6,0,212.9,39.9,"WGS84",43.20821,12.19692,"E20","8","U111","8","mineral","ITALY"
"484","13794",28,32,40,26.3,90,2.9,41.6,562.2,24.6,"WGS84",43.0493,12.01962,"B81","E10","U111","8","mineral","ITALY"
"485","13795",18,27,55,22.6,58,2.1,0,167.1,15.5,"WGS84",43.12102,12.04658,"E20","8","U111","8","mineral","ITALY"
